,time,BTC-USD,MA
2025-06-28 08:03:46,0.13369393004115226,107495.453,107108.82022499999
2025-06-28 09:03:40,0.13415612139917696,107401.2705,107141.78996
2025-06-28 10:03:43,0.13461947016460904,107336.0372,107170.22860999999
2025-06-28 11:03:44,0.13508256172839506,107295.3523,107207.174
2025-06-28 12:03:50,0.1355462962962963,107375.7434,107207.63081
2025-06-28 13:03:06,0.13600360082304527,107372.5937,107201.47016
2025-06-28 14:03:16,0.13646784979423868,107140.567,107216.418905
2025-06-28 15:00:47,0.1369116512345679,107232.8945,107244.10874999998
2025-06-28 16:00:41,0.13737384259259258,107409.535,107267.109455
2025-06-28 17:03:44,0.13786033950617285,107323.8357,107276.50761
2025-06-28 18:03:46,0.1383235596707819,107502.1442,107294.145465
2025-06-28 19:03:40,0.13878575102880658,107337.6971,107303.22103500001
2025-06-28 20:00:38,0.1392253086419753,107283.9126,107313.14657499999
2025-06-28 21:03:34,0.13971090534979425,107229.7594,107316.99882000001
2025-06-28 22:02:10,0.1401630658436214,107339.0378,107328.08236
2025-06-28 23:03:49,0.14063876028806585,107390.1301,107340.041245
2025-06-29 00:03:19,0.14109786522633744,107332.7847,107340.11585500001
2025-06-29 01:03:46,0.14156430041152263,107508.2941,107354.06145
2025-06-29 02:03:31,0.1420253343621399,107353.2015,107355.68326
2025-06-29 03:03:31,0.14248829732510288,107331.5816,107349.59127
2025-06-29 04:03:47,0.14295331790123456,107238.9662,107336.76693
2025-06-29 05:03:38,0.1434151234567901,107292.1825,107331.31253
2025-06-29 06:03:39,0.14387821502057613,107332.0447,107331.11290499999
2025-06-29 07:02:57,0.1443357767489712,107388.2789,107335.759235
2025-06-29 08:03:37,0.14480388374485598,107383.5799,107336.15105999999
2025-06-29 09:03:45,0.1452678755144033,107709.8415,107353.01345
2025-06-29 10:03:09,0.14572620884773663,107944.3712,107393.20366
2025-06-29 11:03:37,0.14619277263374486,108172.1909,107440.16848
2025-06-29 12:03:45,0.14665676440329217,108430.8827,107491.23586500001
2025-06-29 13:03:42,0.147119341563786,108180.0613,107534.047145
2025-06-29 14:03:29,0.14758063271604938,108087.0558,107563.29272499999
2025-06-29 15:00:23,0.14801967592592594,107917.6631,107592.291025
2025-06-29 16:03:27,0.14850630144032922,107786.0697,107617.39888
2025-06-29 17:01:10,0.148951646090535,107460.217,107628.92176000001
2025-06-29 18:00:32,0.14940972222222224,107501.5366,107637.04669999999
2025-06-29 19:03:53,0.14989853395061728,107663.7277,107650.72658000002
2025-06-29 20:03:50,0.1503611111111111,107457.441,107656.95939499998
2025-06-29 21:03:51,0.15082420267489713,107469.2717,107655.008275
2025-06-29 22:03:47,0.15128665123456791,107632.6367,107668.98003500002
2025-06-29 23:03:24,0.15174665637860082,108118.0475,107708.30333
2025-06-30 00:00:31,0.15218737139917696,108387.3331,107765.72167500001
2025-06-30 01:03:49,0.1526757973251029,108706.241,107836.4246
2025-06-30 02:00:59,0.15311689814814816,108578.1399,107898.72936
2025-06-30 03:02:05,0.1535883487654321,108531.4611,107955.88847
2025-06-30 04:03:48,0.15406455761316873,108551.5537,108014.28715999999
2025-06-30 05:03:37,0.1545261059670782,108422.5933,108049.92475
2025-06-30 06:03:41,0.15498958333333332,108285.486,108066.98049000002
2025-06-30 07:03:26,0.15545061728395063,107660.1349,108041.37769
2025-06-30 08:00:39,0.155892103909465,107665.5044,108003.10877500002
2025-06-30 09:03:45,0.15637898662551442,107531.9132,107970.70137
2025-06-30 10:03:47,0.15684220679012345,107521.1896,107942.40806
2025-06-30 11:02:08,0.15729243827160494,107630.5631,107928.05305999999
2025-06-30 12:00:43,0.15774447016460905,107739.5959,107925.72937
2025-06-30 13:03:39,0.158230066872428,107623.3399,107933.885515
2025-06-30 14:03:13,0.15868968621399177,107566.3079,107937.12408000001
2025-06-30 15:01:58,0.15914300411522633,107025.8923,107905.23230999999
2025-06-30 16:02:51,0.1596127829218107,107528.3883,107908.779675
2025-06-30 17:03:16,0.1600789609053498,107601.0893,107915.370555
